positionid,vehicleid,timeposition,latitude,longitude,altitude,speed,heading,vehiclestopped,timesave,internalnumber
1001,1,2024-02-16 13:23:21,59.1999283,18.1921052,36,12,201,0,2024-02-16 13:23:21,1
1002,1,2024-02-17 13:23:21,59.289175,17.9367396,33,0,313,1,2024-02-17 13:23:21,2
1003,1,2024-02-18 13:23:21,59.3066887,18.1244466,34,114,112,0,2024-02-18 13:23:21,3
1004,1,2024-02-19 13:23:21,59.2746804,18.0814805,56,40,239,0,2024-02-19 13:23:21,4
1005,1,2024-02-20 13:23:21,59.3592407,18.076503,32,45,23,0,2024-02-20 13:23:21,5
1006,1,2024-02-21 13:23:21,59.3566943,18.0563726,43,107,310,0,2024-02-21 13:23:21,6
1007,1,2024-02-22 13:23:21,59.3570775,18.282496,30,68,83,0,2024-02-22 13:23:21,7
1008,1,2024-02-23 13:23:21,59.3015017,18.053453,29,103,62,0,2024-02-23 13:23:21,8
1009,1,2024-02-24 13:23:21,59.2667228,18.1428359,38,77,312,0,2024-02-24 13:23:21,9
1010,1,2024-02-25 13:23:21,59.3854312,18.0612522,37,0,186,1,2024-02-25 13:23:21,10
1011,1,2024-02-26 13:23:21,59.3466203,18.1558804,55,96,238,0,2024-02-26 13:23:21,11
1012,1,2024-02-27 13:23:21,59.2310836,18.2186066,44,0,89,1,2024-02-27 13:23:21,12
1013,1,2024-02-28 13:23:21,59.2675661,18.0086801,32,21,93,0,2024-02-28 13:23:21,13
1014,1,2024-02-29 13:23:21,59.3292591,17.9193346,49,88,124,0,2024-02-29 13:23:21,14
1015,1,2024-03-01 13:23:21,59.3851009,17.9378087,65,0,354,1,2024-03-01 13:23:21,15
1016,1,2024-03-02 13:23:21,59.1949492,18.0919467,56,116,131,0,2024-03-02 13:23:21,16
1017,1,2024-03-03 13:23:21,59.3447748,18.034811,64,0,232,1,2024-03-03 13:23:21,17
1018,1,2024-03-04 13:23:21,59.204767,17.6627696,68,93,71,0,2024-03-04 13:23:21,18
1019,1,2024-03-05 13:23:21,59.3306739,18.0333361,70,15,259,0,2024-03-05 13:23:21,19
1020,1,2024-03-06 13:23:21,59.2857709,17.9108296,50,0,283,1,2024-03-06 13:23:21,20
1021,1,2024-03-07 13:23:21,59.37235,17.9799779,33,9,34,0,2024-03-07 13:23:21,21
1022,1,2024-03-08 13:23:21,59.3395881,18.0381471,64,71,321,0,2024-03-08 13:23:21,22
1023,1,2024-03-09 13:23:21,59.3393488,18.0982173,48,104,134,0,2024-03-09 13:23:21,23
1024,1,2024-03-10 13:23:21,59.2410353,18.1818729,68,91,351,0,2024-03-10 13:23:21,24
1025,1,2024-03-11 13:23:21,59.2542746,18.1814056,61,56,261,0,2024-03-11 13:23:21,25
1026,1,2024-03-12 13:23:21,59.3281863,18.0467903,43,119,144,0,2024-03-12 13:23:21,26
1027,1,2024-03-13 13:23:21,59.3626604,17.9636942,69,66,344,0,2024-03-13 13:23:21,27
1028,1,2024-03-14 13:23:21,59.3098591,18.0710491,67,95,214,0,2024-03-14 13:23:21,28
1029,1,2024-03-15 13:23:21,59.3080988,17.9604139,55,98,291,0,2024-03-15 13:23:21,29
1030,1,2024-03-16 13:23:21,59.3380561,18.099298,66,101,81,0,2024-03-16 13:23:21,30
1031,1,2024-03-17 13:23:21,59.2001274,17.7817374,51,45,334,0,2024-03-17 13:23:21,31
1032,1,2024-03-18 13:23:21,59.2594383,17.8590638,33,32,333,0,2024-03-18 13:23:21,32
1033,1,2024-03-19 13:23:21,59.2943643,17.998543,49,0,49,1,2024-03-19 13:23:21,33
1034,1,2024-03-20 13:23:21,59.2558746,18.0286756,51,0,243,1,2024-03-20 13:23:21,34
1035,1,2024-03-21 13:23:21,59.3462493,18.0761693,65,42,188,0,2024-03-21 13:23:21,35
1036,1,2024-03-22 13:23:21,59.3645927,18.1347333,39,0,292,1,2024-03-22 13:23:21,36
1037,1,2024-03-23 13:23:21,59.2933861,17.9709154,36,0,124,1,2024-03-23 13:23:21,37
1038,1,2024-03-24 13:23:21,59.2575484,18.0202058,65,85,17,0,2024-03-24 13:23:21,38
1039,1,2024-03-25 13:23:21,59.3595135,18.095775,55,18,118,0,2024-03-25 13:23:21,39
1040,1,2024-03-26 13:23:21,59.333033,18.0919851,51,49,115,0,2024-03-26 13:23:21,40
1041,1,2024-03-27 13:23:21,59.3143287,18.0341921,62,84,328,0,2024-03-27 13:23:21,41
1042,1,2024-03-28 13:23:21,59.2159281,18.1490218,30,0,357,1,2024-03-28 13:23:21,42
